0.619792, latitude, 6.17761, longitude, 5.62976e-05
0.292969, latitude, 12.1311, longitude, -0.000138903
0.313802, latitude, 6.84886, longitude, 1.70243
0.53776, latitude, 6.67329, longitude, 1.70226
0.459635, latitude, -22.4226, longitude, 1.70228
0.46224, latitude, -22.4226, longitude, 1.70228
0.479167, latitude, -28.3812, longitude, 1.7025
0.666667, latitude, -24.8449, longitude, 3.31227
0.316406, latitude, -1.4231, longitude, 3.31268
0.31901, latitude, 4.36144, longitude, 3.31251
0.320312, latitude, 4.36144, longitude, 3.31251
0.333333, latitude, 22.1226, longitude, 3.31304
0.283854, latitude, 30.9299, longitude, 4.92645
0.298177, latitude, -15.9939, longitude, 4.92678
0.695312, latitude, -27.799, longitude, 4.92674
1.03125, latitude, 27.7371, longitude, 6.51236
1.01432, latitude, 27.7371, longitude, 6.51236
0.833333, latitude, 31.132, longitude, 8.10661
0.848958, latitude, 31.132, longitude, 8.10661
0.417969, latitude, 25.0938, longitude, 8.10658
0.295573, latitude, 14.8695, longitude, 9.69659
0.989583, latitude, 26.5442, longitude, 9.69666
0.986979, latitude, 26.5442, longitude, 9.69666
0.529948, latitude, 31.8611, longitude, 11.2771
0.544271, latitude, 31.8611, longitude, 11.2771
0.932292, latitude, 25.9525, longitude, 11.2773
0.28125, latitude, 20.1723, longitude, 11.2772
0.316406, latitude, 14.2236, longitude, 11.2771
0.322917, latitude, 15.1764, longitude, 12.8711
0.722656, latitude, 26.9059, longitude, 12.871
0.747396, latitude, 32.6186, longitude, 14.4596
0.355469, latitude, 20.8548, longitude, 14.4598
0.394531, latitude, 14.2798, longitude, 16.0514
0.333333, latitude, 22.1406, longitude, 17.6471
0.791667, latitude, -11.8466, longitude, 22.4165
0.730469, latitude, -11.2529, longitude, 24.2657
0.735677, latitude, -11.2529, longitude, 24.2657
0.651042, latitude, -13.4158, longitude, 25.7091
0.371094, latitude, 12.9659, longitude, 35.3256
0.371094, latitude, 18.7826, longitude, 35.3253
0.373698, latitude, 18.7826, longitude, 35.3253
0.358073, latitude, 17.5664, longitude, 36.9512
0.351562, latitude, 17.7411, longitude, 38.5069
0.351562, latitude, 24.2482, longitude, 40.1779
0.348958, latitude, 11.3558, longitude, 41.6301
0.346354, latitude, 24.9484, longitude, 43.2025
0.296875, latitude, 13.2497, longitude, 43.2025
0.510417, latitude, 10.8718, longitude, -1.61289
0.613281, latitude, 5.07435, longitude, -1.61275
0.654948, latitude, -0.87958, longitude, -1.61313
0.302083, latitude, -6.70347, longitude, -1.61298
0.411458, latitude, -24.1888, longitude, -1.61316
0.332031, latitude, -29.6008, longitude, -3.22851
0.334635, latitude, -6.23623, longitude, -3.22841
0.661458, latitude, -0.180682, longitude, -3.22862
0.661458, latitude, -0.180682, longitude, -3.22862
0.621094, latitude, 5.67762, longitude, -3.2285
0.304688, latitude, 11.4453, longitude, -3.22841
0.3125, latitude, 12.0327, longitude, -4.85654
0.503906, latitude, 6.16219, longitude, -4.85631
0.744792, latitude, 0.247064, longitude, -4.85629
0.34375, latitude, -5.61032, longitude, -4.85652
0.315104, latitude, 7.32302, longitude, -8.10588
0.283854, latitude, 9.29468, longitude, -9.70229
0.326823, latitude, -23.9446, longitude, -17.7316
0.330729, latitude, -23.8257, longitude, -19.3049
0.31901, latitude, -22.9911, longitude, -21.0654
0.321615, latitude, -24.6681, longitude, -22.4152
0.31901, latitude, -21.0447, longitude, -24.1248
0.328125, latitude, -26.8085, longitude, -24.1247
0.329427, latitude, -26.7133, longitude, -25.6056
