0.759115, latitude, 6.20272, longitude, 0.000117195
0.440104, latitude, 12.1324, longitude, -2.75849e-05
0.528646, latitude, -26.8815, longitude, 9.68753
0.483073, latitude, 38.5918, longitude, 11.2505
0.548177, latitude, -25.9061, longitude, 11.2508
0.490885, latitude, -27.3128, longitude, 12.9812
0.479167, latitude, 37.2562, longitude, 12.9809
0.472656, latitude, 38.8523, longitude, 14.4181
0.300781, latitude, -25.581, longitude, 14.4186
0.414062, latitude, -10.4524, longitude, 16.153
0.453125, latitude, 12.9279, longitude, 16.1529
0.424479, latitude, 36.3793, longitude, 16.153
0.496094, latitude, 42.2104, longitude, 16.1531
0.43099, latitude, 40.3594, longitude, 17.6024
0.438802, latitude, 40.3594, longitude, 17.6024
0.295573, latitude, 16.9383, longitude, 17.6022
0.494792, latitude, -6.58916, longitude, 17.6021
0.429688, latitude, -12.3714, longitude, 17.6023
0.473958, latitude, -59.3924, longitude, 17.6026
0.744792, latitude, -59.1183, longitude, 19.3276
0.552083, latitude, -12.2144, longitude, 19.3278
0.39974, latitude, 34.5345, longitude, 19.3275
0.438802, latitude, 40.4925, longitude, 19.3274
0.419271, latitude, 41.6526, longitude, 20.9183
0.388021, latitude, 35.7753, longitude, 20.9183
0.385417, latitude, 35.7753, longitude, 20.9183
0.56901, latitude, -11.0504, longitude, 20.9184
0.696615, latitude, -58.1103, longitude, 20.9184
0.584635, latitude, -13.6639, longitude, 22.556
0.691406, latitude, -7.86897, longitude, 22.556
0.308594, latitude, 15.7131, longitude, 22.5557
0.619792, latitude, -3.00732, longitude, 24.145
0.451823, latitude, 14.9136, longitude, 25.6412
0.519531, latitude, -2.15933, longitude, 30.4671
0.546875, latitude, -3.59734, longitude, 32.0848
0.550781, latitude, -3.59734, longitude, 32.0848
0.557292, latitude, -1.36204, longitude, 33.6564
0.324219, latitude, -18.9093, longitude, 33.6565
0.657552, latitude, -5.47087, longitude, 35.2681
0.652344, latitude, -5.47087, longitude, 35.2681
0.595052, latitude, 0.465544, longitude, 35.2683
0.640625, latitude, -0.318615, longitude, 36.9416
0.473958, latitude, 12.1682, longitude, -1.71807
0.428385, latitude, 6.34185, longitude, -1.71807
0.398438, latitude, 6.34185, longitude, -1.71807
0.421875, latitude, 5.48665, longitude, -3.35243
0.492188, latitude, 11.4407, longitude, -3.3525
0.49349, latitude, 13.0666, longitude, -4.80151
0.507812, latitude, 13.0663, longitude, -4.80149
0.713542, latitude, 7.13159, longitude, -4.80177
0.528646, latitude, -51.4746, longitude, -4.80097
0.64974, latitude, -54.3369, longitude, -6.55248
0.63151, latitude, -54.3369, longitude, -6.55248
0.540365, latitude, -48.2949, longitude, -6.55254
0.492188, latitude, 4.25304, longitude, -6.55253
0.485677, latitude, 4.25304, longitude, -6.55253
0.507812, latitude, 10.2046, longitude, -6.55261
0.53776, latitude, 14.3491, longitude, -8.13439
0.791667, latitude, 8.38163, longitude, -8.13409
0.553385, latitude, 2.58719, longitude, -8.13439
0.59375, latitude, -50.1354, longitude, -8.13418
0.59375, latitude, -50.6511, longitude, -9.69821
0.563802, latitude, 2.09069, longitude, -9.69845
0.855469, latitude, 7.87463, longitude, -9.69877
0.442708, latitude, 13.7598, longitude, -9.69851
0.342448, latitude, 13.7598, longitude, -9.69851
0.565104, latitude, -48.9756, longitude, -11.3049
0.611979, latitude, -52.1286, longitude, -12.9207
0.432292, latitude, 35.6586, longitude, -12.9206
0.371094, latitude, 41.636, longitude, -14.4905
0.44401, latitude, 35.7758, longitude, -14.4906
0.442708, latitude, 35.7758, longitude, -14.4906
0.427083, latitude, 34.4472, longitude, -16.1552
0.372396, latitude, 40.4058, longitude, -16.1554
0.28776, latitude, 37.0376, longitude, -17.7664
0.407552, latitude, 33.5541, longitude, -19.2009
0.326823, latitude, -20.6074, longitude, -20.9452
0.346354, latitude, -27.2248, longitude, -22.553
0.463542, latitude, -24.4848, longitude, -24.1126
